date,icon,title,content,url
20231017,gavel,Special Town Meeting Official Date,A Special Town Meeting has been called for 17-October to act on the ARB reviewed plan for Arlington's compliance with the MBTA Communities law.  Warrant opens 11-September.,https://www.arlingtonma.gov/Home/Components/Calendar/Event/32645/3784?backlist=%2ftown-governance%2ftown-meeting
20230911,gavel,"ARB Meeting Agenda including citizen commentary (PDF, 208pp)","Detailed ARB Meeting agenda, including various town reports and 100 (yes, one hundred) pages of citizen emails sent to the ARB.",https://arlington.novusagenda.com/agendapublic/DisplayAgendaPDF.ashx?MeetingID=1913
20230911,gavel,ARB Meeting online agenda with just citizen emailed comments,Online format of all citizen emails recieved by the ARB before the 11-September meeting,https://arlington.novusagenda.com/agendapublic/CoverSheet.aspx?ItemID=16564&MeetingID=1913
20230911,gavel,ARB Meeting notice for 11-Sep review of zoning bylaw,ARB meets 11-Sep to review final WG Proposed Zoning Bylaw Amendment.,https://www.arlingtonma.gov/Home/Components/News/News/13533/3864?backlist=%2ftown-governance%2fboards-and-committees%2fredevelopment-board
20230906,map,WG Final Alternative 1 Zoning maps - viewable,,https://www.arlingtonma.gov/home/showpublisheddocument/66583/638290929702230000
20230906,map,WG Final Alternative 1 Zoning maps - data and shape files,,https://arlingtonma-my.sharepoint.com/:x:/g/personal/jenniferjs_town_arlington_ma_us/EVLGZnEmcyhGlmlpAUetBDIBmvMM_6QJS-IgDtaCbFUe4g?e=UC2hv7
20230906,map,WG Final Alternative 2 Zoning maps - viewable,,https://www.arlingtonma.gov/home/showpublisheddocument/66585/638290929950500000
20230906,map,WG Final Alternative 2 Zoning maps - data and shape files,,https://arlingtonma-my.sharepoint.com/:x:/g/personal/jenniferjs_town_arlington_ma_us/ERjlrMFiZEVGgON0IHdb1DUB4lmcuz9clm8ajtKxrEad1A?e=0Hoebm
20230906,gavel,WG Final Report And Recommendations,"WG's published final report, 51 pages, outlining their process, recommendations, and maps being proposed.",https://www.arlingtonma.gov/home/showpublisheddocument/66621/638295974594270000
20230906,gavel,WG Final Zoning Bylaw Amendment,"WG's Final bylaws amendment, edited 6-Sep with updates.",https://www.arlingtonma.gov/home/showpublisheddocument/66579/638296112612334760
20230906,blog,Steve Revilak's meeting notes from 5-Sep WG meeting,Discussion of how the WG wrote and updated their final report.,"https://www.srevilak.net/wiki/MBTA_Communities_Working_Group_-_Sep_5th,_2023"
20230831,gavel,ARB Meeting notice for 11-Sep review of maps,ARB meets 11-Sep to review final WG Proposed Zoning Maps - both alternatives 1 and 2.,https://www.arlingtonma.gov/Home/Components/News/News/12760/3864?backlist=%2ftown-governance%2fboards-and-committees%2fredevelopment-board
20230831,gavel,WG Preliminary Zoning Bylaw Amendment,WG recommendation for the specific zoning bylaw being sent to the ARB for approval to go to town meeting.,https://www.arlingtonma.gov/home/showpublisheddocument/66579
20230831,gavel,WG Preliminary Alternative 1 Zoning maps,Final WG precommended zoning map being sent to ARB.,https://www.arlingtonma.gov/home/showpublisheddocument/66583
20230831,gavel,WG Preliminary Alternative 1 Zoning maps,Second alternative map for the ARB's review.,https://www.arlingtonma.gov/home/showpublisheddocument/66585
20230830,blog,Steve Revilak's meeting notes from 29-August WG Meeting,,"https://www.srevilak.net/wiki/MBTA_Communities_Working_Group_-_Aug_29th,_2023"
20230830,blog,"ARFRR's unofficial minutes of the WG Meeting, 29-August",,https://blog-arfrr.blogspot.com/2023/08/what-happened-at-august-29th-working.html
20230829,gavel,"WG Meeting Summary, 29-August",,https://www.arlingtonma.gov/home/showpublisheddocument/66623/638295939494170000
20230829,gavel,Arlington DPCD updated communities guidline discussion,"Letter from Arlington's planning director, explaining details for Arlington's case of 17-August update from EOHLC.",https://www.arlingtonma.gov/home/showpublisheddocument/66581
20230829,newspaper,Your Arlington's coverage of 29-August WG Meeting,,https://www.yourarlington.com/arlington-archives/town-school/planning/21619-mbta-082923.html
20230829,gavel,WG Report on July 2023 Community Survey,Detailed overview and report on complete data from the July 2023 survey sent out. *(88p PDF)*,https://www.arlingtonma.gov/home/showpublisheddocument/66573/638289876844016771
20230829,gavel,"WG Meeting, 29-August, agenda",,https://www.arlingtonma.gov/home/showpublisheddocument/66541
20230828,blog,Steve Revilak's meeting notes from 28-August ARB meeting,,"https://www.srevilak.net/wiki/Arlington_Redevelopment_Board_-_Aug_28th,_2023"
20230819,blog,"ARFRR's unofficial minutes of the WG Meeting, 15-August",,https://blog-arfrr.blogspot.com/2023/08/what-happened-at-august-15th-7pm-mbta.html
20230817,landmark,MA EOHLC 'Revisions to Section 3A Compliance Guidelines',"Updated guidance from the MA Executive Office of Housing & Livable Communities, detailing updated guidelines for mixed-use districts and other grant qualifications. *(PDF)*",https://www.mass.gov/doc/summary-of-changes-to-mbta-communities-guidelines-081723/download
20230816,blog,Steve Revilak's meeting notes from 15-August WG Meeting,,"https://www.srevilak.net/wiki/MBTA_Communities_Working_Group_-_Aug_15th,_2023"
20230816,gavel,"WG Meeting Summary, 15-August","Detailed unofficial summary of the WG Meeting on 15-August, including details of votes made on plan changes.",https://www.arlingtonma.gov/home/showpublisheddocument/66571/638289876301352766
20230815,map,New 15-August Draft Map,"Newly updated draft map for 15-Aug meeting with townwide,East, and Center maps plus output data on housing numbers.",https://www.arlingtonma.gov/home/showpublisheddocument/66453
20230815,gavel,"WG Meeting, 15-August, Detailed Presentation slides","UTILE's 8/15 Draft HCA Districts Update presentation, with updated maps and chart of numbers. *(PDF)*",https://www.arlingtonma.gov/home/showpublisheddocument/66449
20230815,gavel,"WG Meeting, 15-August, calendar note",,https://www.arlingtonma.gov/Home/Components/Calendar/Event/32572/
20230809,blog,Steve Revilak's meeting notes from 8-August WG Meeting,,"https://www.srevilak.net/wiki/MBTA_Communities_Working_Group_-_Aug_15th,_2023"
20230808,gavel,"WG Meeting, 08-August, UTILE presentation","UTILE's presentation slides of 'Arlington 3A Zoning District Scenarios' with updated map variations, *(PDF)*",https://www.arlingtonma.gov/home/showpublisheddocument/66387/638271857519713841
20230808,gavel,"WG Meeting, 08-August, agenda",,https://www.arlingtonma.gov/home/showpublisheddocument/66351/638267432792200000
20230808,blog,Kristin Anderson's meeting notes from 08-August WG Meeting,,https://menotomymatters.com/notes/mbta-kanderson-20230808
20230808,blog,Chuck Carney's meeting notes from 08-August WG Meeting,,https://menotomymatters.com/notes/mbta-ccarney-20230808
20230803,gavel,DPCD Video Discussing town planning,"In this DPCD Update, Claire Ricker, Arlington's Director of Planning and Community Development provides updates on MBTA Communities, Electrify Arlington, and the Transformative Growth Grant program.",https://vimeo.com/851435481?share=copy
20230801,gavel,"WG Public Meeting, 1-Aug, summary",Brief review of the 1-August WG meeting with discussions and list of recent documents reviewed,https://www.arlingtonma.gov/home/showpublisheddocument/66389/638272579272358654
20230801,gavel,"WG Public Meeting, 1-Aug, agenda",,https://www.arlingtonma.gov/home/showpublisheddocument/66306/638261393254470000
20230731,gavel,"Affordable Housing Bonus Memo, 31-July",Details of bonus height bonus related to additional %age of affordable housing.,https://www.arlingtonma.gov/home/showpublisheddocument/66334/638266615683200000
20230731,gavel,Criteria For Environmental Bonus Memo - 31-July,Planing dept recommends using the SITES rating system.,https://www.arlingtonma.gov/home/showpublisheddocument/66336/638266615980100000
20230731,landmark,Sustainable Sites Initiative,"Independent group for scoring sustainability of proposed developments, with a SITES rating.",https://www.sustainablesites.org/
20230730,newspaper,Your Arlington coverage of July 25 meeting,Views on zoning plan are all over the map.,https://yourarlington.com/arlington-archives/town-school/planning/21581-housing-073123.html
20230728,gavel,DPCD Zoning Recommendations Memo - 28-July,Planning dept new recommendations; 15ft front setback; bonus size criteria.,https://www.arlingtonma.gov/home/showpublisheddocument/66332/638266616350270000
20230725,map,"WG Draft Map, July 25",,https://www.arlingtonma.gov/home/showpublisheddocument/66215/638258738820870000
20230725,gavel,"WG Meeting agenda, July 25",,https://www.arlingtonma.gov/home/showpublisheddocument/66197/638255325060770000
20230725,gavel,"WG Public Meeting, July 25 - video",,https://youtu.be/w9sbyDisRLU
20230725,gavel,"WG Public Meeting, July 25 - slide deck",,https://www.arlingtonma.gov/home/showpublisheddocument/66273
20230724,newspaper,Your Arlington coverage of ARB Meeting,ARB discusses updated map about proposed zoning for denser housing.,https://yourarlington.com/arlington-archives/town-school/planning/21502-mbta-061223.html
20230722,newspaper,Your Arlington coverage of ARB & WG meeting,"3-D MBTA Communities representation unveiled, as setbacks, trees discussed.",https://yourarlington.com/arlington-archives/town-school/planning/21572-mbtamap-072523.html
20230718,map,"WG Draft Map, July 18",,https://www.arlingtonma.gov/home/showpublisheddocument/66181/638253560130870000
20230718,gavel,"WG Meeting agenda, July 18",,https://www.arlingtonma.gov/home/showpublisheddocument/66129/638249223386230000
20230711,map,"WG Draft Map, July 11",,https://www.arlingtonma.gov/home/showpublisheddocument/66075/638248701006000000
20230711,gavel,"WG Meeting summary, July 11",,https://www.arlingtonma.gov/home/showpublisheddocument/66179/638253553447930000
20230711,gavel,"WG Meeting notes, July 11",,https://docs.google.com/document/d/1506OTvSkljgxXN61X37SjmC35Ru_UIIvYSdwaVm5kEk/edit
20230627,gavel,"WG Meeting summary, June 27",,https://www.arlingtonma.gov/home/showpublisheddocument/66065/638247554633470000
20230726,newspaper,Your Arlington coverage of early MBTA meetings,Well over 100 turn out to view latest MBTA Communities Working Group zoning map.,https://yourarlington.com/arlington-archives/town-school/planning/21576-housing-072623.html
20230622,map,"WG Draft Map, June 22",,https://www.arlingtonma.gov/home/showpublisheddocument/65983/638236616871730000
20230620,gavel,"WG Meeting summary, June 20",,https://www.arlingtonma.gov/home/showpublisheddocument/65951/638235385051400000
20230608,map,"WG Draft Map, June 8",,https://www.arlingtonma.gov/home/showpublisheddocument/65981/638236616864570000
20230608,gavel,WG Community Meeting - video,,https://www.youtube.com/watch?v=woe8bWuLze8
20230608,gavel,WG Community Meeting - summary,,https://www.arlingtonma.gov/home/showpublisheddocument/66177/638253545770100000
20230608,gavel,WG Community Meeting - slide deck,,https://www.arlingtonma.gov/home/showpublisheddocument/65774/638219208109370000
20230608,gavel,WG Community Meeting - outreach materials,,https://www.arlingtonma.gov/home/showpublisheddocument/65557/638198527579430000
20230608,gavel,WG Community Meeting - group activities,,https://www.arlingtonma.gov/home/showpublisheddocument/65760/638219201448730000
20230606,map,"WG Draft Map, June 6",,https://www.arlingtonma.gov/home/showpublisheddocument/65979/638236616857370000
20230606,gavel,"WG Meeting summary, June 6",,https://www.arlingtonma.gov/home/showpublisheddocument/65907/638233645860730000
20230601,newspaper,Your Arlington coverage of community survey,"Residents support business, shared space, multifamily housing near transit, survey says.",https://yourarlington.com/arlington-archives/town-school/planning/21473-survey-052923.html
20230530,gavel,"WG Meeting summary, May 30",,https://www.arlingtonma.gov/home/showpublisheddocument/65905/638233646169330000
20230523,gavel,"WG Meeting summary, May 23",,https://www.arlingtonma.gov/home/showpublisheddocument/65903/638233646347930000
20230522,newspaper,Your Arlington coverage of MBTA communities law,Town faces zoning effort in fall; let's start talking.,https://yourarlington.com/arlington-archives/town-school/planning/21404-housing-050323.html
20230516,gavel,"WG Meeting summary, May 16",,https://www.arlingtonma.gov/home/showpublisheddocument/65949/638235385022470000
20230504,gavel,"WG Meeting summary, May 4",,https://www.arlingtonma.gov/home/showpublisheddocument/65947/638235384992170000
20230430,gavel,Summary report of March/April community survey,,https://www.arlingtonma.gov/home/showpublisheddocument/65987/638236619962500000
20230430,gavel,Community Survey detail answers,Detailed survey data provided by WG member Steve Revilak.,https://www.srevilak.net/wiki/images/e/e0/Mbta-community-survey-raw.xlsx
20230425,landmark,All Action Plans submitted to state,Downloadable listing of Action Plans submitted by all MBTA Communities.,https://www.mass.gov/doc/submitted-section-3a-action-plans
20230328,gavel,"WG Meeting summary, March 28",,https://www.arlingtonma.gov/home/showpublisheddocument/65945/638235384961870000
