title,url,related,content
Town Website Homepage,https://www.arlingtonma.gov/,,Homepage of town government.  Pro tip: use the Search... box on the top right; it's pretty good. 
Official Town Calendar Of Committee Meetings,https://www.arlingtonma.gov/communications-center/calendar,,Very useful calendar showing when most town committees or official groups meet.
Arlington Annual Reports Listing,https://www.arlingtonma.gov/town-governance/annual-reports,,"Official list of annual reports; while pretty long, they include a lot of detail from various town committees including finance numbers."
Town Government Org Chart And Overview,https://www.arlingtonma.gov/home/showdocument?id=41026,,"Comprehensive Arlington Government Primer (2019) written by the Envision Arlington group, includes org charts, descriptions, and details on government structure."
Town Request and Answer Tool,https://www.arlingtonma.gov/services/request-answer-center,,"Want to get something done in town government? Start here and make a trackable request on a variety of topics."
US Census Overview Data Of Arlington,https://www.census.gov/quickfacts/fact/table/arlingtoncdpmassachusetts/AFN120212,,Aggregated census data about Arlington from 2010-2020.
Town Meeting Homepage,https://www.arlingtonma.gov/town-governance/town-meeting,,Click through links to see data from past town meetings.
Town Website Site Map,https://www.arlingtonma.gov/services/advanced-components/site-map,,"Sometimes when searching doesn't seem to help, reading through the whole list of Town departments and pages helps find what you need."
Official Arlington Maps,https://www.arlingtonlist.org/resources/websites,https://www.arlingtonma.gov/departments/information-technology/geographic-information-system-gis/map-library,,"The town's GIS department creates a bunch of highly detailed maps of town - precincts, school districts, street sweeping, and many more."
Other Useful Websites - Arlington List,https://www.arlingtonlist.org/resources/websites,,
Have Additions To This List?,https://github.com/ShaneCurcuru/menotomymatters,,This website is an open source project - so submit your pull requests for consideration!
